,pickup,dropoff,passengers,distance,fare,tip,tolls,total,color,payment,pickup_zone,dropoff_zone,pickup_borough,dropoff_borough,time_duration,duration_in_minutes,trip_hour,trip_day,trip_day_num
3398,2019-03-27 12:38:06,2019-03-27 12:40:11,1,0.25,3.5,0.0,0.0,6.8,yellow,cash,Upper West Side South,Upper West Side North,Manhattan,Manhattan,0 days 00:02:05,2.0833333333333335,12,Wednesday,3
3399,2019-03-26 19:04:23,2019-03-26 19:13:50,1,1.9,8.5,2.0,0.0,14.8,yellow,credit card,East Harlem North,Upper East Side South,Manhattan,Manhattan,0 days 00:09:27,9.45,19,Tuesday,2
3400,2019-03-22 23:04:54,2019-03-22 23:15:04,1,1.08,8.0,3.54,0.0,15.34,yellow,credit card,Gramercy,Lower East Side,Manhattan,Manhattan,0 days 00:10:10,10.166666666666666,23,Friday,5
3401,2019-03-05 22:10:58,2019-03-05 22:21:05,1,2.35,9.5,3.32,0.0,16.62,yellow,credit card,Murray Hill,Upper East Side North,Manhattan,Manhattan,0 days 00:10:07,10.116666666666667,22,Tuesday,2
3402,2019-03-31 04:15:55,2019-03-31 04:23:43,1,1.64,8.0,2.36,0.0,14.16,yellow,credit card,Flatiron,Murray Hill,Manhattan,Manhattan,0 days 00:07:48,7.8,4,Sunday,0
3403,2019-03-29 01:48:37,2019-03-29 01:58:57,1,7.4,21.5,3.0,0.0,25.8,yellow,credit card,JFK Airport,Starrett City,Queens,Brooklyn,0 days 00:10:20,10.333333333333334,1,Friday,5
3404,2019-03-12 09:25:47,2019-03-12 09:34:32,1,0.91,7.0,0.0,0.0,10.3,yellow,cash,Times Sq/Theatre District,Midtown North,Manhattan,Manhattan,0 days 00:08:45,8.75,9,Tuesday,2
3405,2019-03-19 13:17:00,2019-03-19 13:44:38,2,11.17,34.0,10.76,5.76,53.82,yellow,credit card,Midtown Center,LaGuardia Airport,Manhattan,Queens,0 days 00:27:38,27.633333333333333,13,Tuesday,2
3406,2019-03-18 05:13:36,2019-03-18 05:30:55,3,7.71,23.5,6.11,5.76,36.67,yellow,credit card,East Harlem South,LaGuardia Airport,Manhattan,Queens,0 days 00:17:19,17.316666666666666,5,Monday,1
3407,2019-03-21 13:04:56,2019-03-21 13:19:16,1,1.34,10.0,0.0,0.0,13.3,yellow,cash,Upper East Side North,Lenox Hill East,Manhattan,Manhattan,0 days 00:14:20,14.333333333333334,13,Thursday,4
3408,2019-03-04 19:20:29,2019-03-04 19:23:30,1,0.5,4.0,1.25,0.0,9.55,yellow,credit card,Union Sq,Gramercy,Manhattan,Manhattan,0 days 00:03:01,3.0166666666666666,19,Monday,1
3409,2019-03-22 05:52:33,2019-03-22 05:57:11,1,0.73,5.0,0.0,0.0,8.3,yellow,credit card,West Chelsea/Hudson Yards,Penn Station/Madison Sq West,Manhattan,Manhattan,0 days 00:04:38,4.633333333333334,5,Friday,5
3410,2019-03-14 14:36:01,2019-03-14 15:00:48,1,2.32,15.5,3.76,0.0,22.56,yellow,credit card,Union Sq,Clinton East,Manhattan,Manhattan,0 days 00:24:47,24.783333333333335,14,Thursday,4
3411,2019-03-09 21:54:55,2019-03-09 22:05:40,2,1.71,9.0,2.56,0.0,15.36,yellow,credit card,Two Bridges/Seward Park,West Village,Manhattan,Manhattan,0 days 00:10:45,10.75,21,Saturday,6
3412,2019-03-07 09:37:32,2019-03-07 10:03:00,1,1.61,15.5,3.76,0.0,22.56,yellow,credit card,Upper East Side South,Midtown South,Manhattan,Manhattan,0 days 00:25:28,25.466666666666665,9,Thursday,4
3413,2019-03-23 09:46:05,2019-03-23 09:52:25,1,1.1,6.5,1.95,0.0,11.75,yellow,credit card,Upper East Side South,Upper East Side North,Manhattan,Manhattan,0 days 00:06:20,6.333333333333333,9,Saturday,6
3414,2019-03-20 15:24:32,2019-03-20 15:25:07,2,0.2,3.0,1.26,0.0,7.56,yellow,credit card,East Chelsea,East Chelsea,Manhattan,Manhattan,0 days 00:00:35,0.5833333333333334,15,Wednesday,3
3415,2019-03-15 18:02:53,2019-03-15 18:31:06,2,5.82,22.5,5.36,0.0,32.16,yellow,credit card,Clinton East,Financial District North,Manhattan,Manhattan,0 days 00:28:13,28.216666666666665,18,Friday,5
3416,2019-03-21 18:41:48,2019-03-21 18:46:48,1,1.0,5.5,2.9,0.0,12.7,yellow,credit card,Lenox Hill East,Upper East Side South,Manhattan,Manhattan,0 days 00:05:00,5.0,18,Thursday,4
3417,2019-03-31 21:35:29,2019-03-31 21:49:42,2,2.94,12.5,3.26,0.0,19.56,yellow,credit card,West Village,Clinton East,Manhattan,Manhattan,0 days 00:14:13,14.216666666666667,21,Sunday,0
3418,2019-03-12 23:25:13,2019-03-12 23:33:48,1,1.1,7.0,2.16,0.0,12.96,yellow,credit card,Lower East Side,Two Bridges/Seward Park,Manhattan,Manhattan,0 days 00:08:35,8.583333333333334,23,Tuesday,2
3419,2019-03-08 23:25:54,2019-03-08 23:34:49,1,1.22,7.5,0.56,0.0,11.86,yellow,credit card,Little Italy/NoLiTa,Financial District North,Manhattan,Manhattan,0 days 00:08:55,8.916666666666666,23,Friday,5
3420,2019-03-13 10:03:08,2019-03-13 10:44:40,4,6.8,29.5,4.95,0.0,37.75,yellow,credit card,LaGuardia Airport,Lenox Hill West,Queens,Manhattan,0 days 00:41:32,41.53333333333333,10,Wednesday,3
3421,2019-03-03 15:28:02,2019-03-03 15:34:11,1,1.06,6.0,2.79,0.0,12.09,yellow,credit card,East Village,Gramercy,Manhattan,Manhattan,0 days 00:06:09,6.15,15,Sunday,0
3422,2019-03-02 12:09:38,2019-03-02 12:34:05,1,9.7,29.0,8.05,0.0,40.35,yellow,credit card,Times Sq/Theatre District,LaGuardia Airport,Manhattan,Queens,0 days 00:24:27,24.45,12,Saturday,6
3423,2019-03-07 18:41:23,2019-03-07 19:00:41,1,1.7,13.0,2.0,0.0,19.3,yellow,credit card,UN/Turtle Bay South,Midtown North,Manhattan,Manhattan,0 days 00:19:18,19.3,18,Thursday,4
3424,2019-03-09 02:52:46,2019-03-09 02:58:33,1,1.98,7.5,2.26,0.0,13.56,yellow,credit card,East Village,Midtown East,Manhattan,Manhattan,0 days 00:05:47,5.783333333333333,2,Saturday,6
3425,2019-03-17 14:39:40,2019-03-17 14:42:12,1,0.36,3.5,0.0,0.0,6.8,yellow,cash,Clinton East,Times Sq/Theatre District,Manhattan,Manhattan,0 days 00:02:32,2.533333333333333,14,Sunday,0
3426,2019-03-12 21:56:28,2019-03-12 21:59:14,1,0.49,4.0,0.0,0.0,7.8,yellow,cash,Clinton East,Midtown North,Manhattan,Manhattan,0 days 00:02:46,2.7666666666666666,21,Tuesday,2
3427,2019-03-25 09:32:41,2019-03-25 09:37:57,5,0.7,5.0,1.66,0.0,9.96,yellow,credit card,Garment District,Times Sq/Theatre District,Manhattan,Manhattan,0 days 00:05:16,5.266666666666667,9,Monday,1
3428,2019-03-12 17:44:07,2019-03-12 17:47:36,3,0.4,4.0,0.0,0.0,8.3,yellow,cash,Midtown East,Sutton Place/Turtle Bay North,Manhattan,Manhattan,0 days 00:03:29,3.4833333333333334,17,Tuesday,2
3429,2019-03-14 18:24:36,2019-03-14 18:38:05,3,1.16,9.5,2.76,0.0,16.56,yellow,credit card,Upper East Side North,Central Park,Manhattan,Manhattan,0 days 00:13:29,13.483333333333333,18,Thursday,4
3430,2019-03-23 22:47:25,2019-03-23 22:53:59,1,1.6,7.5,2.26,0.0,13.56,yellow,credit card,Yorkville West,Upper West Side South,Manhattan,Manhattan,0 days 00:06:34,6.566666666666666,22,Saturday,6
3431,2019-03-26 18:56:24,2019-03-26 19:10:47,0,2.1,11.5,3.3,0.0,16.6,yellow,credit card,Manhattan Valley,Central Harlem,Manhattan,Manhattan,0 days 00:14:23,14.383333333333333,18,Tuesday,2
3432,2019-03-05 21:47:04,2019-03-05 21:57:36,1,1.71,9.0,2.56,0.0,15.36,yellow,credit card,Murray Hill,Flatiron,Manhattan,Manhattan,0 days 00:10:32,10.533333333333333,21,Tuesday,2
3433,2019-03-28 15:24:17,2019-03-28 15:35:32,1,1.01,8.5,1.18,0.0,12.98,yellow,credit card,Clinton East,Penn Station/Madison Sq West,Manhattan,Manhattan,0 days 00:11:15,11.25,15,Thursday,4
3434,2019-03-01 22:48:11,2019-03-01 22:50:24,1,0.42,3.5,2.0,0.0,9.3,yellow,credit card,Clinton East,Lincoln Square East,Manhattan,Manhattan,0 days 00:02:13,2.216666666666667,22,Friday,5
3435,2019-03-08 13:49:33,2019-03-08 13:53:43,1,0.65,5.0,1.66,0.0,9.96,yellow,credit card,Upper West Side South,Lincoln Square West,Manhattan,Manhattan,0 days 00:04:10,4.166666666666667,13,Friday,5
3436,2019-03-11 17:54:43,2019-03-11 18:03:10,2,1.1,7.5,2.35,0.0,14.15,yellow,credit card,Yorkville West,Upper East Side South,Manhattan,Manhattan,0 days 00:08:27,8.45,17,Monday,1
3437,2019-03-11 18:55:31,2019-03-11 19:19:40,1,5.09,20.0,0.0,0.0,24.3,yellow,cash,SoHo,Lenox Hill East,Manhattan,Manhattan,0 days 00:24:09,24.15,18,Monday,1
3438,2019-03-06 22:13:32,2019-03-06 22:41:32,1,7.06,25.0,0.0,0.0,28.8,yellow,cash,Lincoln Square East,Central Harlem North,Manhattan,Manhattan,0 days 00:28:00,28.0,22,Wednesday,3
3439,2019-03-26 23:02:29,2019-03-26 23:07:19,5,0.85,5.0,0.0,0.0,8.8,yellow,cash,Midtown North,Garment District,Manhattan,Manhattan,0 days 00:04:50,4.833333333333333,23,Tuesday,2
3440,2019-03-26 23:21:25,2019-03-26 23:26:22,1,1.2,6.0,1.95,0.0,11.75,yellow,credit card,Upper East Side South,Upper West Side North,Manhattan,Manhattan,0 days 00:04:57,4.95,23,Tuesday,2
3441,2019-03-19 18:23:00,2019-03-19 18:42:39,1,3.91,16.0,2.0,0.0,22.3,yellow,credit card,West Chelsea/Hudson Yards,Lower East Side,Manhattan,Manhattan,0 days 00:19:39,19.65,18,Tuesday,2
3442,2019-03-21 18:33:30,2019-03-21 18:40:05,2,1.1,6.5,2.15,0.0,12.95,yellow,credit card,Murray Hill,East Village,Manhattan,Manhattan,0 days 00:06:35,6.583333333333333,18,Thursday,4
3443,2019-03-11 13:47:36,2019-03-11 14:03:05,1,2.03,11.0,0.0,0.0,14.3,yellow,cash,Little Italy/NoLiTa,Financial District South,Manhattan,Manhattan,0 days 00:15:29,15.483333333333333,13,Monday,1
3444,2019-03-25 12:16:41,2019-03-25 12:37:20,1,2.63,13.5,0.0,0.0,16.8,yellow,cash,Lincoln Square East,Union Sq,Manhattan,Manhattan,0 days 00:20:39,20.65,12,Monday,1
3445,2019-03-25 21:25:25,2019-03-25 21:28:30,3,0.97,5.0,1.32,0.0,10.12,yellow,credit card,Penn Station/Madison Sq West,Union Sq,Manhattan,Manhattan,0 days 00:03:05,3.0833333333333335,21,Monday,1
3446,2019-03-10 17:35:36,2019-03-10 17:38:24,1,0.3,4.0,1.45,0.0,8.75,yellow,credit card,Midtown South,Murray Hill,Manhattan,Manhattan,0 days 00:02:48,2.8,17,Sunday,0
3447,2019-03-31 21:01:15,2019-03-31 21:16:49,1,2.3,11.5,3.06,0.0,18.36,yellow,credit card,Meatpacking/West Village West,Alphabet City,Manhattan,Manhattan,0 days 00:15:34,15.566666666666666,21,Sunday,0
3448,2019-03-28 21:34:09,2019-03-28 22:14:38,1,13.1,41.0,5.0,5.76,55.56,yellow,credit card,Gramercy,Midwood,Manhattan,Brooklyn,0 days 00:40:29,40.483333333333334,21,Thursday,4
3449,2019-03-01 13:02:16,2019-03-01 13:14:16,1,1.97,9.5,2.0,0.0,14.8,yellow,credit card,Lenox Hill West,Upper East Side North,Manhattan,Manhattan,0 days 00:12:00,12.0,13,Friday,5
3450,2019-03-13 09:30:53,2019-03-13 09:42:44,6,1.12,8.5,2.36,0.0,14.16,yellow,credit card,Penn Station/Madison Sq West,Times Sq/Theatre District,Manhattan,Manhattan,0 days 00:11:51,11.85,9,Wednesday,3
3451,2019-03-16 08:32:55,2019-03-16 08:53:27,1,4.38,17.5,2.0,0.0,20.3,yellow,credit card,LaGuardia Airport,Long Island City/Queens Plaza,Queens,Queens,0 days 00:20:32,20.533333333333335,8,Saturday,6
3452,2019-03-27 20:08:17,2019-03-27 20:18:11,1,1.97,8.5,2.46,0.0,14.76,yellow,credit card,TriBeCa/Civic Center,World Trade Center,Manhattan,Manhattan,0 days 00:09:54,9.9,20,Wednesday,3
3453,2019-03-29 23:25:54,2019-03-30 00:17:32,1,13.8,46.0,9.95,0.0,59.75,yellow,credit card,Lincoln Square East,Flatbush/Ditmas Park,Manhattan,Brooklyn,0 days 00:51:38,51.63333333333333,23,Friday,5
3454,2019-03-25 20:07:51,2019-03-25 20:28:49,0,5.8,20.0,4.75,0.0,28.55,yellow,credit card,Gramercy,Brooklyn Heights,Manhattan,Brooklyn,0 days 00:20:58,20.966666666666665,20,Monday,1
3455,2019-03-04 14:54:37,2019-03-04 15:38:39,1,13.46,56.74,0.0,0.0,57.54,yellow,credit card,Upper West Side South,Cypress Hills,Manhattan,Brooklyn,0 days 00:44:02,44.03333333333333,14,Monday,1
3456,2019-03-18 20:46:24,2019-03-18 21:08:02,6,5.13,19.5,5.82,0.0,29.12,yellow,credit card,Greenwich Village North,Upper West Side South,Manhattan,Manhattan,0 days 00:21:38,21.633333333333333,20,Monday,1
3457,2019-03-06 08:50:57,2019-03-06 08:58:19,2,0.68,6.0,0.0,0.0,9.3,yellow,cash,Murray Hill,Midtown Center,Manhattan,Manhattan,0 days 00:07:22,7.366666666666666,8,Wednesday,3
3458,2019-03-30 20:05:06,2019-03-30 20:11:03,2,1.5,7.0,2.16,0.0,12.96,yellow,credit card,TriBeCa/Civic Center,Meatpacking/West Village West,Manhattan,Manhattan,0 days 00:05:57,5.95,20,Saturday,6
3459,2019-03-08 14:51:23,2019-03-08 15:52:38,1,18.27,52.0,0.0,5.76,61.06,yellow,cash,JFK Airport,Midtown South,Queens,Manhattan,0 days 01:01:15,61.25,14,Friday,5
3460,2019-03-13 12:26:35,2019-03-13 12:38:25,1,0.7,8.5,2.35,0.0,14.15,yellow,credit card,Midtown East,Times Sq/Theatre District,Manhattan,Manhattan,0 days 00:11:50,11.833333333333334,12,Wednesday,3
3461,2019-03-29 23:31:05,2019-03-29 23:43:01,2,1.6,9.0,1.0,0.0,13.8,yellow,credit card,East Village,Meatpacking/West Village West,Manhattan,Manhattan,0 days 00:11:56,11.933333333333334,23,Friday,5
3462,2019-03-13 11:25:11,2019-03-13 11:34:55,1,1.13,7.5,3.24,0.0,14.04,yellow,credit card,Penn Station/Madison Sq West,Times Sq/Theatre District,Manhattan,Manhattan,0 days 00:09:44,9.733333333333333,11,Wednesday,3
3463,2019-03-17 12:50:09,2019-03-17 12:52:57,1,0.5,4.0,0.0,0.0,7.3,yellow,cash,West Village,Flatiron,Manhattan,Manhattan,0 days 00:02:48,2.8,12,Sunday,0
3464,2019-03-10 22:49:34,2019-03-10 22:55:39,1,1.0,6.0,3.0,0.0,12.8,yellow,credit card,Midtown North,Midtown Center,Manhattan,Manhattan,0 days 00:06:05,6.083333333333333,22,Sunday,0
3465,2019-03-30 13:33:56,2019-03-30 13:44:21,2,1.9,9.0,2.45,0.0,14.75,yellow,credit card,Upper East Side North,Midtown East,Manhattan,Manhattan,0 days 00:10:25,10.416666666666666,13,Saturday,6
3466,2019-03-07 15:53:49,2019-03-07 16:23:24,1,5.0,22.5,5.16,0.0,30.96,yellow,credit card,Upper East Side South,Greenwich Village North,Manhattan,Manhattan,0 days 00:29:35,29.583333333333332,15,Thursday,4
3467,2019-03-08 08:28:24,2019-03-08 08:34:40,1,0.84,6.0,1.86,0.0,11.16,yellow,credit card,East Chelsea,Penn Station/Madison Sq West,Manhattan,Manhattan,0 days 00:06:16,6.266666666666667,8,Friday,5
3468,2019-03-11 21:47:17,2019-03-11 22:05:23,1,6.81,21.5,3.0,5.76,31.56,yellow,credit card,LaGuardia Airport,East Harlem North,Queens,Manhattan,0 days 00:18:06,18.1,21,Monday,1
3469,2019-03-14 19:29:30,2019-03-14 19:33:19,2,0.5,4.5,1.75,0.0,10.55,yellow,credit card,Murray Hill,Murray Hill,Manhattan,Manhattan,0 days 00:03:49,3.816666666666667,19,Thursday,4
3470,2019-03-08 17:13:58,2019-03-08 17:30:19,1,1.0,10.5,3.7,0.0,18.5,yellow,credit card,Union Sq,Murray Hill,Manhattan,Manhattan,0 days 00:16:21,16.35,17,Friday,5
3471,2019-03-17 19:01:09,2019-03-17 19:33:20,2,14.1,40.0,0.0,0.0,40.8,yellow,credit card,South Jamaica,Fort Greene,Queens,Brooklyn,0 days 00:32:11,32.18333333333333,19,Sunday,0
3472,2019-03-20 00:51:31,2019-03-20 00:57:10,5,1.99,7.5,0.0,0.0,11.3,yellow,cash,Times Sq/Theatre District,East Chelsea,Manhattan,Manhattan,0 days 00:05:39,5.65,0,Wednesday,3
3473,2019-03-05 18:09:27,2019-03-05 18:21:07,1,1.12,8.5,2.56,0.0,15.36,yellow,credit card,Gramercy,Murray Hill,Manhattan,Manhattan,0 days 00:11:40,11.666666666666666,18,Tuesday,2
3474,2019-03-28 19:23:47,2019-03-28 19:30:52,1,0.6,6.0,2.58,0.0,12.88,yellow,credit card,Gramercy,Union Sq,Manhattan,Manhattan,0 days 00:07:05,7.083333333333333,19,Thursday,4
3475,2019-03-23 00:52:20,2019-03-23 01:03:18,1,5.08,16.0,3.96,0.0,23.76,yellow,credit card,TriBeCa/Civic Center,Midtown East,Manhattan,Manhattan,0 days 00:10:58,10.966666666666667,0,Saturday,6
3476,2019-03-11 13:22:57,2019-03-11 13:26:22,1,0.62,4.5,0.0,0.0,7.8,yellow,cash,Murray Hill,Midtown Center,Manhattan,Manhattan,0 days 00:03:25,3.4166666666666665,13,Monday,1
3477,2019-03-23 01:40:20,2019-03-23 01:59:24,1,2.4,14.0,2.0,0.0,19.8,yellow,credit card,West Chelsea/Hudson Yards,Greenwich Village North,Manhattan,Manhattan,0 days 00:19:04,19.066666666666666,1,Saturday,6
3478,2019-03-28 23:00:05,2019-03-28 23:13:56,1,3.8,13.5,3.45,0.0,20.75,yellow,credit card,Midtown Center,Manhattan Valley,Manhattan,Manhattan,0 days 00:13:51,13.85,23,Thursday,4
3479,2019-03-14 21:54:37,2019-03-14 22:07:35,1,3.62,13.0,3.36,0.0,20.16,yellow,credit card,Midtown Center,Central Harlem,Manhattan,Manhattan,0 days 00:12:58,12.966666666666667,21,Thursday,4
3480,2019-03-12 12:21:58,2019-03-12 12:27:05,1,0.72,5.5,1.76,0.0,10.56,yellow,credit card,Sutton Place/Turtle Bay North,Upper East Side South,Manhattan,Manhattan,0 days 00:05:07,5.116666666666666,12,Tuesday,2
3481,2019-03-03 20:12:56,2019-03-03 20:16:03,2,0.86,4.5,1.24,0.0,9.54,yellow,credit card,Lenox Hill East,Yorkville East,Manhattan,Manhattan,0 days 00:03:07,3.1166666666666667,20,Sunday,0
3482,2019-03-13 12:40:07,2019-03-13 12:45:54,1,0.6,5.5,1.75,0.0,10.55,yellow,credit card,Upper East Side North,Upper East Side South,Manhattan,Manhattan,0 days 00:05:47,5.783333333333333,12,Wednesday,3
3483,2019-03-31 14:39:07,2019-03-31 14:44:26,4,0.35,5.0,0.0,0.0,8.3,yellow,cash,Clinton East,Times Sq/Theatre District,Manhattan,Manhattan,0 days 00:05:19,5.316666666666666,14,Sunday,0
3484,2019-03-31 14:47:16,2019-03-31 14:58:54,2,1.43,9.5,0.0,0.0,12.8,yellow,cash,Battery Park City,Little Italy/NoLiTa,Manhattan,Manhattan,0 days 00:11:38,11.633333333333333,14,Sunday,0
3485,2019-03-21 12:48:38,2019-03-21 13:03:12,1,1.59,10.0,1.3,0.0,14.6,yellow,credit card,East Chelsea,Meatpacking/West Village West,Manhattan,Manhattan,0 days 00:14:34,14.566666666666666,12,Thursday,4
3486,2019-03-06 18:12:20,2019-03-06 18:31:51,5,2.09,13.5,1.2,0.0,19.0,yellow,credit card,Lenox Hill East,Midtown Center,Manhattan,Manhattan,0 days 00:19:31,19.516666666666666,18,Wednesday,3
3487,2019-03-07 21:45:12,2019-03-07 21:51:52,1,1.2,6.5,2.05,0.0,12.35,yellow,credit card,Midtown South,Flatiron,Manhattan,Manhattan,0 days 00:06:40,6.666666666666667,21,Thursday,4
3488,2019-03-15 14:53:18,2019-03-15 15:20:26,6,2.33,17.0,3.04,0.0,23.34,yellow,credit card,Lincoln Square West,Upper East Side North,Manhattan,Manhattan,0 days 00:27:08,27.133333333333333,14,Friday,5
3489,2019-03-26 19:50:59,2019-03-26 20:00:16,1,1.27,7.5,3.0,0.0,14.8,yellow,credit card,Midtown East,Garment District,Manhattan,Manhattan,0 days 00:09:17,9.283333333333333,19,Tuesday,2
3490,2019-03-03 02:31:40,2019-03-03 02:41:53,1,2.44,10.0,0.0,0.0,13.8,yellow,cash,Lower East Side,Midtown South,Manhattan,Manhattan,0 days 00:10:13,10.216666666666667,2,Sunday,0
3491,2019-03-06 13:48:01,2019-03-06 14:00:43,4,1.08,9.0,2.46,0.0,14.76,yellow,credit card,Greenwich Village North,Little Italy/NoLiTa,Manhattan,Manhattan,0 days 00:12:42,12.7,13,Wednesday,3
3492,2019-03-13 11:54:17,2019-03-13 12:01:36,1,0.73,6.0,2.32,0.0,11.62,yellow,credit card,Times Sq/Theatre District,Garment District,Manhattan,Manhattan,0 days 00:07:19,7.316666666666666,11,Wednesday,3
3493,2019-03-16 00:32:57,2019-03-16 00:40:40,3,1.66,7.5,0.0,0.0,8.8,yellow,cash,Morningside Heights,Manhattan Valley,Manhattan,Manhattan,0 days 00:07:43,7.716666666666667,0,Saturday,6
3494,2019-03-02 11:07:18,2019-03-02 11:14:09,1,1.39,7.0,0.0,0.0,10.3,yellow,cash,Little Italy/NoLiTa,Gramercy,Manhattan,Manhattan,0 days 00:06:51,6.85,11,Saturday,6
3495,2019-03-14 22:59:54,2019-03-14 23:04:34,2,0.53,5.0,2.0,0.0,10.8,yellow,credit card,Murray Hill,Murray Hill,Manhattan,Manhattan,0 days 00:04:40,4.666666666666667,22,Thursday,4
3496,2019-03-15 08:46:00,2019-03-15 09:03:32,1,3.33,14.5,0.0,0.0,17.8,yellow,cash,Battery Park City,Flatiron,Manhattan,Manhattan,0 days 00:17:32,17.533333333333335,8,Friday,5
3497,2019-03-04 21:56:31,2019-03-04 21:58:39,2,0.37,3.5,0.0,0.0,7.3,yellow,cash,Kips Bay,Union Sq,Manhattan,Manhattan,0 days 00:02:08,2.1333333333333333,21,Monday,1
3498,2019-03-21 10:24:44,2019-03-21 10:30:14,2,0.4,5.0,2.08,0.0,10.38,yellow,credit card,Flatiron,East Chelsea,Manhattan,Manhattan,0 days 00:05:30,5.5,10,Thursday,4
3499,2019-03-06 05:11:32,2019-03-06 05:30:12,6,9.84,28.5,4.0,0.0,36.3,yellow,credit card,Lenox Hill West,LaGuardia Airport,Manhattan,Queens,0 days 00:18:40,18.666666666666668,5,Wednesday,3
3501,2019-03-17 15:43:21,2019-03-17 15:51:42,1,1.67,8.0,2.26,0.0,13.56,yellow,credit card,Central Park,Sutton Place/Turtle Bay North,Manhattan,Manhattan,0 days 00:08:21,8.35,15,Sunday,0
3502,2019-03-20 20:17:18,2019-03-20 20:23:32,1,0.94,6.0,1.47,0.0,11.27,yellow,credit card,Murray Hill,Union Sq,Manhattan,Manhattan,0 days 00:06:14,6.233333333333333,20,Wednesday,3
3503,2019-03-14 05:21:42,2019-03-14 05:49:13,1,17.85,52.0,12.21,5.76,73.27,yellow,credit card,JFK Airport,Greenwich Village North,Queens,Manhattan,0 days 00:27:31,27.516666666666666,5,Thursday,4
3504,2019-03-14 12:17:11,2019-03-14 12:38:06,1,2.0,14.0,3.46,0.0,20.76,yellow,credit card,Sutton Place/Turtle Bay North,Midtown South,Manhattan,Manhattan,0 days 00:20:55,20.916666666666668,12,Thursday,4
3505,2019-03-06 13:07:26,2019-03-06 13:14:00,1,0.6,5.5,0.0,0.0,8.8,yellow,credit card,Meatpacking/West Village West,Greenwich Village South,Manhattan,Manhattan,0 days 00:06:34,6.566666666666666,13,Wednesday,3
3506,2019-03-18 15:16:58,2019-03-18 15:32:16,2,3.65,14.5,3.66,0.0,21.96,yellow,credit card,Financial District North,Cobble Hill,Manhattan,Brooklyn,0 days 00:15:18,15.3,15,Monday,1
3507,2019-03-19 14:40:14,2019-03-19 14:59:19,3,1.8,12.5,2.0,0.0,17.8,yellow,credit card,Upper East Side North,Midtown East,Manhattan,Manhattan,0 days 00:19:05,19.083333333333332,14,Tuesday,2
3508,2019-03-21 19:10:22,2019-03-21 19:19:53,1,0.8,7.5,2.35,0.0,14.15,yellow,credit card,Midtown South,Murray Hill,Manhattan,Manhattan,0 days 00:09:31,9.516666666666667,19,Thursday,4
3509,2019-03-29 15:58:16,2019-03-29 16:33:53,2,3.5,22.0,0.0,0.0,25.3,yellow,cash,East Chelsea,Sutton Place/Turtle Bay North,Manhattan,Manhattan,0 days 00:35:37,35.61666666666667,15,Friday,5
3510,2019-03-06 13:26:57,2019-03-06 14:06:37,2,8.3,34.0,10.0,5.76,53.06,yellow,credit card,LaGuardia Airport,Midtown Center,Queens,Manhattan,0 days 00:39:40,39.666666666666664,13,Wednesday,3
3511,2019-03-09 13:37:46,2019-03-09 13:47:40,1,1.69,8.5,0.0,0.0,11.8,yellow,cash,Central Park,Upper West Side South,Manhattan,Manhattan,0 days 00:09:54,9.9,13,Saturday,6
3512,2019-03-28 07:42:11,2019-03-28 07:45:33,1,0.6,4.5,1.55,0.0,9.35,yellow,credit card,Sutton Place/Turtle Bay North,Midtown East,Manhattan,Manhattan,0 days 00:03:22,3.3666666666666667,7,Thursday,4
3513,2019-03-14 17:09:30,2019-03-14 17:29:48,1,1.7,13.5,4.45,0.0,22.25,yellow,credit card,Lincoln Square East,Sutton Place/Turtle Bay North,Manhattan,Manhattan,0 days 00:20:18,20.3,17,Thursday,4
3514,2019-03-05 12:07:18,2019-03-05 12:15:44,2,1.09,7.0,3.0,0.0,13.3,yellow,credit card,Sutton Place/Turtle Bay North,Upper East Side South,Manhattan,Manhattan,0 days 00:08:26,8.433333333333334,12,Tuesday,2
3515,2019-03-23 19:37:38,2019-03-23 19:55:02,3,5.02,17.5,0.0,0.0,20.8,yellow,cash,East Harlem South,Gramercy,Manhattan,Manhattan,0 days 00:17:24,17.4,19,Saturday,6
3516,2019-03-28 20:25:39,2019-03-28 20:34:52,1,1.38,7.5,0.0,0.0,11.3,yellow,cash,Midtown South,Clinton East,Manhattan,Manhattan,0 days 00:09:13,9.216666666666667,20,Thursday,4
3517,2019-03-16 14:30:34,2019-03-16 14:35:50,1,1.1,6.0,1.85,0.0,11.15,yellow,credit card,TriBeCa/Civic Center,West Village,Manhattan,Manhattan,0 days 00:05:16,5.266666666666667,14,Saturday,6
3518,2019-03-06 18:30:18,2019-03-06 18:33:49,1,0.53,4.5,2.2,0.0,11.0,yellow,credit card,Hudson Sq,West Village,Manhattan,Manhattan,0 days 00:03:31,3.5166666666666666,18,Wednesday,3
3519,2019-03-19 14:01:42,2019-03-19 14:30:25,3,7.04,26.0,0.0,0.0,29.3,yellow,cash,Financial District South,Times Sq/Theatre District,Manhattan,Manhattan,0 days 00:28:43,28.716666666666665,14,Tuesday,2
3520,2019-03-01 04:19:39,2019-03-01 04:23:36,1,0.84,5.0,0.5,0.0,9.3,yellow,credit card,Penn Station/Madison Sq West,Union Sq,Manhattan,Manhattan,0 days 00:03:57,3.95,4,Friday,5
